sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.45,A,1,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,1,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,1,0.747551,1.027827,0.857627,1.085304
0.45,D,1,1.000000,1.085304,0.857627,1.085304
0.45,Z,2,0.216777,0.906982,0.857627,1.085304
0.45,A,2,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,2,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,2,0.747551,1.027827,0.857627,1.085304
0.45,D,2,1.000000,1.085304,0.857627,1.085304
0.45,Z,3,0.747551,1.027827,0.857627,1.085304
0.45,A,3,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,3,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,3,0.747551,1.027827,0.857627,1.085304
0.45,D,3,1.000000,1.085304,0.857627,1.085304
0.45,Z,4,0.000000,0.731396,0.857627,1.085304
0.45,A,4,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,4,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,4,0.747551,1.027827,0.857627,1.085304
0.45,D,4,1.000000,1.085304,0.857627,1.085304
0.45,Z,5,0.245593,0.913543,0.857627,1.085304
0.45,A,5,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,5,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,5,0.747551,1.027827,0.857627,1.085304
0.45,D,5,1.000000,1.085304,0.857627,1.085304
0.45,Z,6,0.000000,0.724259,0.857627,1.085304
0.45,A,6,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,6,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,6,0.747551,1.027827,0.857627,1.085304
0.45,D,6,1.000000,1.085304,0.857627,1.085304
0.45,Z,7,0.747551,1.027827,0.857627,1.085304
0.45,A,7,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,7,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,7,0.747551,1.027827,0.857627,1.085304
0.45,D,7,1.000000,1.085304,0.857627,1.085304
0.45,Z,8,0.245593,0.913543,0.857627,1.085304
0.45,A,8,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,8,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,8,0.747551,1.027827,0.857627,1.085304
0.45,D,8,1.000000,1.085304,0.857627,1.085304
0.45,Z,9,0.000000,0.731396,0.857627,1.085304
0.45,A,9,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,9,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,9,0.747551,1.027827,0.857627,1.085304
0.45,D,9,1.000000,1.085304,0.857627,1.085304
0.45,Z,10,0.747551,1.027827,0.857627,1.085304
0.45,A,10,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,10,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,10,0.747551,1.027827,0.857627,1.085304
0.45,D,10,1.000000,1.085304,0.857627,1.085304
0.45,Z,11,0.747551,1.027827,0.857627,1.085304
0.45,A,11,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,11,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,11,0.747551,1.027827,0.857627,1.085304
0.45,D,11,1.000000,1.085304,0.857627,1.085304
0.45,Z,12,0.000000,0.838758,0.857627,1.085304
0.45,A,12,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,12,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,12,0.747551,1.027827,0.857627,1.085304
0.45,D,12,1.000000,1.085304,0.857627,1.085304
0.45,Z,13,0.158554,0.893726,0.857627,1.085304
0.45,A,13,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,13,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,13,0.747551,1.027827,0.857627,1.085304
0.45,D,13,1.000000,1.085304,0.857627,1.085304
0.45,Z,14,0.000000,0.731396,0.857627,1.085304
0.45,A,14,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,14,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,14,0.747551,1.027827,0.857627,1.085304
0.45,D,14,1.000000,1.085304,0.857627,1.085304
0.45,Z,15,0.113868,0.883552,0.857627,1.085304
0.45,A,15,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,15,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,15,0.747551,1.027827,0.857627,1.085304
0.45,D,15,1.000000,1.085304,0.857627,1.085304
0.45,Z,16,0.000000,0.731396,0.857627,1.085304
0.45,A,16,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,16,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,16,0.747551,1.027827,0.857627,1.085304
0.45,D,16,1.000000,1.085304,0.857627,1.085304
0.45,Z,17,0.261266,0.917112,0.857627,1.085304
0.45,A,17,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,17,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,17,0.747551,1.027827,0.857627,1.085304
0.45,D,17,1.000000,1.085304,0.857627,1.085304
0.45,Z,18,0.747551,1.027827,0.857627,1.085304
0.45,A,18,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,18,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,18,0.747551,1.027827,0.857627,1.085304
0.45,D,18,1.000000,1.085304,0.857627,1.085304
0.45,Z,19,0.000000,0.724259,0.857627,1.085304
0.45,A,19,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,19,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,19,0.747551,1.027827,0.857627,1.085304
0.45,D,19,1.000000,1.085304,0.857627,1.085304
0.45,Z,20,0.245593,0.913543,0.857627,1.085304
0.45,A,20,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,20,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,20,0.747551,1.027827,0.857627,1.085304
0.45,D,20,1.000000,1.085304,0.857627,1.085304
0.45,Z,21,0.000000,0.835194,0.857627,1.085304
0.45,A,21,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,21,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,21,0.747551,1.027827,0.857627,1.085304
0.45,D,21,1.000000,1.085304,0.857627,1.085304
0.45,Z,22,0.261266,0.917112,0.857627,1.085304
0.45,A,22,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,22,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,22,0.747551,1.027827,0.857627,1.085304
0.45,D,22,1.000000,1.085304,0.857627,1.085304
0.45,Z,23,0.261266,0.917112,0.857627,1.085304
0.45,A,23,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,23,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,23,0.747551,1.027827,0.857627,1.085304
0.45,D,23,1.000000,1.085304,0.857627,1.085304
0.45,Z,24,0.245593,0.913543,0.857627,1.085304
0.45,A,24,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,24,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,24,0.747551,1.027827,0.857627,1.085304
0.45,D,24,1.000000,1.085304,0.857627,1.085304
