K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,C_PP,53,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,53,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,54,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,54,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,54,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,54,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,54,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,55,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,55,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,55,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,55,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,55,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,56,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,56,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,56,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,56,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,56,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,57,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,57,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,57,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,57,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,57,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,58,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,58,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,58,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,58,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,58,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,59,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,59,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,59,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,59,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,59,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,60,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,60,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,60,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,60,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,60,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,61,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,61,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,61,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,61,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,61,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,62,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,62,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,62,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,62,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,62,1.000000,1.057498,0.829481,1.057498
