dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,D,30,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,31,0.000000,0.790223,0.832914,1.058737,0.601778
P1,unimodal,centrist,A,31,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,31,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,31,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,31,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,32,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,32,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,32,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,32,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,32,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,33,0.000000,0.809807,0.832914,1.058737,0.582334
P1,unimodal,centrist,A,33,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,33,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,33,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,33,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,34,0.072829,0.849361,0.832914,1.058737,0.623942
P1,unimodal,centrist,A,34,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,34,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,34,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,34,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,35,0.146957,0.866100,0.832914,1.058737,0.751041
P1,unimodal,centrist,A,35,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,35,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,35,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,35,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,36,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,36,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,36,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,36,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,36,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,37,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,37,0.753688,1.003114,0.832914,1.058737,0.876819
