spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,C_CN,38,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,38,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,38,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,38,0.278253,0.892928,0.829481,1.057498,4
centrist,D,38,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,39,0.227848,0.881434,0.829481,1.057498,5
centrist,A,39,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,39,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,39,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,39,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,39,0.227848,0.881434,0.829481,1.057498,5
centrist,D,39,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,40,0.000000,0.688188,0.829481,1.057498,4
centrist,A,40,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,40,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,40,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,40,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,40,0.278253,0.892928,0.829481,1.057498,4
centrist,D,40,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,41,0.223446,0.880431,0.829481,1.057498,5
centrist,A,41,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,41,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,41,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP,41,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,41,0.227848,0.881434,0.829481,1.057498,5
centrist,D,41,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,42,0.000000,0.711174,0.829481,1.057498,4
centrist,A,42,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,42,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,42,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,42,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,42,0.278253,0.892928,0.829481,1.057498,4
centrist,D,42,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,43,0.278253,0.892928,0.829481,1.057498,4
centrist,A,43,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,43,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,43,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,43,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,43,0.278253,0.892928,0.829481,1.057498,4
centrist,D,43,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,44,0.212773,0.877997,0.829481,1.057498,5
centrist,A,44,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,44,0.746434,0.999681,0.829481,1.057498,5
