date,ticker,open,high,low,close
2025-01-24,XOM,104.921,105.3684,103.1793,103.4173
2025-01-27,AAPL,222.5978,230.6762,222.5581,228.4007
2025-01-27,AMD,117.8,118.08,112.8,115.01
2025-01-27,AMZN,226.21,235.61,225.86,235.42
2025-01-27,BAC,45.0067,45.5771,44.8423,45.5288
2025-01-27,COST,922.5715,959.266,919.774,957.5399
2025-01-27,CSCO,59.6108,59.6787,57.057,57.3677
2025-01-27,CVX,146.6139,148.0769,145.8542,147.4579
2025-01-27,DIS,110.4584,112.8322,110.2408,112.1003
2025-01-27,GOOGL,191.4102,195.857,189.739,190.8134
2025-01-27,GS,606.6199,617.015,606.0958,614.6564
2025-01-27,HD,399.1255,409.9863,398.2598,408.7165
2025-01-27,INTC,20.81,21.06,20.14,20.29
2025-01-27,JNJ,142.4598,147.2581,142.028,146.7207
2025-01-27,JPM,257.5441,259.299,255.682,259.182
2025-01-27,KO,60.6512,61.915,60.2654,61.616
2025-01-27,MA,529.6068,543.9094,527.701,543.5621
2025-01-27,MCD,276.6452,283.228,275.873,282.8999
2025-01-27,META,624.106,661.2171,622.602,657.243
2025-01-27,MRK,92.4442,94.348,91.8223,93.6974
2025-01-27,MSFT,419.039,430.0978,418.535,429.4653
2025-01-27,NFLX,97.11,98.227,96.026,97.189
2025-01-27,NVDA,124.6139,128.2085,116.526,118.2434
2025-01-27,PEP,142.3382,146.6294,142.3193,145.8183
2025-01-27,PFE,24.067,24.7365,24.0119,24.6356
2025-01-27,PG,161.0542,164.1648,160.465,163.8943
2025-01-27,SPY,586.3049,591.1152,586.1374,590.7997
2025-01-27,TSLA,394.8,406.69,389.0,397.15
2025-01-27,UNH,522.9363,534.4897,522.9363,526.3646
2025-01-27,V,326.3218,331.7506,324.3936,330.8112
2025-01-27,WMT,94.6156,96.1547,93.5501,96.0956
2025-01-27,XOM,103.7504,105.1209,103.1603,104.8544
2025-01-28,AAPL,229.3845,238.6652,229.3447,236.7474
2025-01-28,AMD,115.18,116.15,112.95,114.17
2025-01-28,AMZN,234.29,241.77,233.98,238.15
2025-01-28,BAC,45.5191,45.8672,45.1614,45.2871
2025-01-28,COST,954.1472,957.9963,946.4492,951.0125
2025-01-28,CSCO,57.3095,57.8338,57.2124,57.7076
2025-01-28,CVX,147.9081,149.0429,145.5353,146.5013
2025-01-28,DIS,111.6156,111.7244,110.3397,110.9134
2025-01-28,GOOGL,191.7485,194.4643,189.6892,194.2852
2025-01-28,GS,613.6082,620.2859,613.2297,619.0435
2025-01-28,HD,407.1485,407.1485,400.8571,402.9061
2025-01-28,INTC,20.34,20.34,19.74,19.8
2025-01-28,JNJ,146.4999,146.7974,144.2352,144.312
2025-01-28,JPM,259.182,260.6248,258.1875,260.4396
2025-01-28,KO,61.2687,61.78,60.0821,60.1592
2025-01-28,MA,542.4703,547.443,538.6192,543.2842
2025-01-28,MCD,282.2338,284.2511,279.9172,281.0273
2025-01-28,META,663.3385,679.8523,656.8346,671.6353
2025-01-28,MRK,93.133,94.5967,92.4059,93.2287
2025-01-28,MSFT,429.5048,443.1233,426.3226,441.9571
2025-01-28,NFLX,96.671,97.793,95.73,97.183
2025-01-28,NVDA,121.6283,128.8076,116.0766,128.7976
2025-01-28,PEP,145.3845,145.8183,141.5837,141.7063
2025-01-28,PFE,24.5622,24.6356,24.2963,24.5347
2025-01-28,PG,163.1698,163.8267,160.4649,160.5422
2025-01-28,SPY,592.0319,596.714,588.7101,595.8762
2025-01-28,TSLA,396.91,400.59,386.5,398.09
2025-01-28,UNH,525.8707,529.2505,520.8639,525.3574
2025-01-28,V,330.9398,334.0646,329.1797,330.752
2025-01-28,WMT,95.9278,96.5296,95.4345,95.987
2025-01-28,XOM,105.0828,105.5207,102.5893,102.8272
2025-01-29,AAPL,232.6337,238.3373,232.5244,237.8405
2025-01-29,AMD,115.77,118.52,114.96,117.35
2025-01-29,AMZN,239.02,240.39,236.15,237.07
2025-01-29,BAC,45.2,45.8188,45.0937,45.2
2025-01-29,COST,950.1493,960.5258,947.3717,956.3196
2025-01-29,CSCO,58.2125,58.7854,57.7853,57.8241
2025-01-29,CVX,146.0418,146.8483,145.1883,146.0136
2025-01-29,DIS,112.2585,113.1289,111.5266,111.9519
2025-01-29,GOOGL,194.5439,195.7675,192.4249,194.3947
2025-01-29,GS,618.267,629.9141,617.6944,618.6359
2025-01-29,HD,404.2432,405.3495,396.1338,397.7018
2025-01-29,INTC,19.87,20.08,19.66,19.75
2025-01-29,JNJ,144.4271,145.7514,143.9473,145.0509
2025-01-29,JPM,260.5078,263.8908,258.9479,259.8936
2025-01-29,KO,60.3522,61.124,60.3425,60.6127
2025-01-29,MA,542.9269,546.51,542.4306,544.7134
2025-01-29,MCD,281.2493,282.9481,279.9173,280.0234
2025-01-29,META,672.3026,678.3284,663.0099,673.7866
2025-01-29,MRK,93.2,94.855,93.1713,94.0227
2025-01-29,MSFT,441.4531,441.6408,435.2368,437.1442
2025-01-29,NFLX,98.0,98.764,96.823,97.815
2025-01-29,NVDA,126.3114,126.7008,119.871,123.5155
2025-01-29,PEP,142.5363,143.3568,141.6874,141.8195
2025-01-29,PFE,24.5806,24.8282,24.3696,24.4155
2025-01-29,PG,161.0542,161.6049,160.2428,160.5809
2025-01-29,SPY,595.0874,595.4916,590.6518,593.2048
2025-01-29,TSLA,395.21,398.59,384.48,389.1
2025-01-29,UNH,524.631,526.3258,517.1547,521.1156
2025-01-29,V,330.7717,333.3526,330.7717,332.1364
2025-01-29,WMT,96.1251,96.8552,95.9179,96.1942
2025-01-29,XOM,102.5131,103.5315,102.2847,103.4268
2025-01-30,AAPL,237.1548,239.2613,235.7041,236.0816
2025-01-30,AMD,118.53,120.44,117.09,118.86
2025-01-30,AMZN,237.14,237.95,232.22,234.64
2025-01-30,BAC,45.5481,45.6061,44.8616,45.171
2025-01-30,COST,962.5496,978.8682,962.3511,971.19
2025-01-30,CSCO,58.7174,59.3098,58.5038,58.7174
2025-01-30,CVX,146.8296,147.6643,145.8542,146.6045
2025-01-30,DIS,112.8421,113.9201,111.8827,112.1893
2025-01-30,GOOGL,196.9712,200.3535,196.6429,199.8263
2025-01-30,GS,625.5367,630.4188,622.1494,626.7112
2025-01-30,HD,400.5781,401.4535,395.874,398.7408
2025-01-30,INTC,19.72,20.1,19.43,20.01
2025-01-30,JNJ,145.7802,147.9202,145.2524,146.7015
2025-01-30,JPM,261.8922,262.9354,259.9326,261.5023
2025-01-30,KO,61.5967,62.0211,60.9985,61.7896
2025-01-30,MA,550.8672,572.6438,550.4007,561.7952
2025-01-30,MCD,280.7956,281.925,279.2995,280.2262
2025-01-30,META,694.0353,707.9495,673.3981,684.2546
2025-01-30,MRK,95.1038,95.1038,93.9749,94.6637
2025-01-30,MSFT,413.8604,417.9024,408.3162,410.1247
2025-01-30,NFLX,98.675,99.459,97.001,97.324
2025-01-30,NVDA,122.9164,124.8136,117.9239,124.4641
2025-01-30,PEP,142.6777,144.3753,142.0647,143.2624
2025-01-30,PFE,24.4522,24.7732,24.3788,24.6815
2025-01-30,PG,161.7884,161.9043,160.291,161.7208
2025-01-30,SPY,595.3241,597.9263,592.1304,596.3886
2025-01-30,TSLA,410.78,412.5,384.41,400.28
2025-01-30,UNH,522.4424,529.8412,518.1135,528.3499
2025-01-30,V,335.7259,340.6009,335.2216,339.2264
2025-01-30,WMT,96.3817,97.605,96.1153,97.3288
2025-01-30,XOM,103.9693,104.5499,103.4553,104.2834
2025-01-31,AAPL,245.6207,245.6207,231.958,234.5018
2025-01-31,AMD,119.14,119.57,115.33,115.95
2025-01-31,AMZN,236.5,240.29,236.41,237.68
2025-01-31,BAC,45.1517,45.2774,44.6296,44.765
2025-01-31,COST,968.4422,983.0843,967.9859,972.0531
2025-01-31,CSCO,58.7757,59.4166,58.7077,58.8437
2025-01-31,CVX,144.2036,144.7757,139.4112,139.9176
2025-01-31,DIS,112.0607,112.7629,111.5266,111.8233
2025-01-31,GOOGL,200.9504,204.4123,200.7514,202.9599
2025-01-31,GS,630.8847,630.8847,618.6941,621.5671
2025-01-31,HD,397.4613,400.5493,394.7197,396.3166
2025-01-31,INTC,20.1,20.33,19.38,19.43
2025-01-31,JNJ,146.4615,146.999,145.9241,146.0105
2025-01-31,JPM,262.4772,264.0273,260.2641,260.5956
2025-01-31,KO,61.452,61.6738,61.1529,61.2397
