condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
b,sym_aggressive,True,6,P4,False,40,6,5,5,7
b,sym_aggressive,True,7,P3,False,87,5,4,7,5
b,sym_aggressive,True,8,P4,False,52,4,5,5,7
b,sym_aggressive,True,9,P1,True,57,7,2,5,6
b,sym_aggressive,True,10,P1,True,29,7,2,3,3
b,sym_aggressive,True,11,P3,False,59,3,3,7,3
b,sym_aggressive,True,12,P1,True,53,7,3,5,2
b,sym_aggressive,True,13,P3,False,63,3,3,7,6
b,sym_aggressive,True,14,P2,True,74,5,7,6,5
b,sym_aggressive,True,15,P3,False,51,4,4,7,3
b,sym_aggressive,True,16,P4,False,48,6,3,6,7
b,sym_aggressive,True,17,P4,False,76,4,4,3,7
b,sym_aggressive,True,18,P1,True,53,7,4,5,4
b,sym_aggressive,True,19,P3,False,19,2,2,7,3
b,sym_aggressive,True,20,P2,True,46,3,7,6,5
b,sym_aggressive,True,21,P4,False,40,3,4,3,7
b,sym_aggressive,True,22,P1,True,49,7,2,3,5
b,sym_aggressive,True,23,P3,False,63,4,2,7,5
b,sym_aggressive,True,24,P4,False,32,4,2,6,7
b,sym_aggressive,True,25,P2,True,50,5,7,3,2
b,sym_aggressive,True,26,P1,True,33,7,3,3,3
b,sym_aggressive,True,27,P3,False,43,3,2,7,3
b,sym_aggressive,True,28,P4,False,40,6,2,4,7
b,sym_aggressive,True,29,P3,False,47,3,3,8,3
b,sym_conservative,True,0,P4,False,56,5,5,6,7
b,sym_conservative,True,1,P3,False,35,3,2,7,3
b,sym_conservative,True,2,P1,True,41,7,3,3,5
b,sym_conservative,True,3,P3,False,71,5,2,7,4
b,sym_conservative,True,4,P4,False,68,3,6,6,7
b,sym_conservative,True,5,P1,True,53,7,3,4,3
b,sym_conservative,True,6,P1,True,29,7,3,4,3
b,sym_conservative,True,7,P3,False,43,2,4,7,5
b,sym_conservative,True,8,P1,True,41,7,2,4,3
b,sym_conservative,True,9,P1,True,45,7,2,6,5
b,sym_conservative,True,10,P1,True,33,7,2,3,4
b,sym_conservative,True,11,P3,False,55,3,3,7,6
b,sym_conservative,True,12,P3,False,51,5,3,7,5
b,sym_conservative,True,13,P3,False,63,6,4,7,5
b,sym_conservative,True,14,P3,False,67,3,4,7,5
b,sym_conservative,True,15,P4,False,36,5,3,4,7
b,sym_conservative,True,16,P1,True,25,7,3,6,4
b,sym_conservative,True,17,P3,False,87,5,6,7,6
b,sym_conservative,True,18,P3,False,39,5,2,7,4
b,sym_conservative,True,19,P3,False,35,4,3,7,4
b,sym_conservative,True,20,P3,False,43,2,3,7,3
b,sym_conservative,True,21,P4,False,72,5,4,4,7
b,sym_conservative,True,22,P1,True,41,7,5,6,3
b,sym_conservative,True,23,P1,True,33,7,2,2,2
b,sym_conservative,True,24,P3,False,75,5,3,7,5
b,sym_conservative,True,25,P3,False,71,5,2,7,5
b,sym_conservative,True,26,P1,True,41,7,2,4,4
b,sym_conservative,True,27,P1,True,33,7,2,4,2
b,sym_conservative,True,28,P3,False,31,4,2,8,4
b,sym_conservative,True,29,P1,True,41,7,5,2,3
c,default,False,0,P3,False,47,3,4,7,4
c,default,False,1,P1,True,89,7,5,5,5
c,default,False,2,P3,False,67,3,6,7,6
c,default,False,3,P4,False,36,3,2,3,7
c,default,False,4,P1,True,33,7,2,6,6
c,default,False,5,P4,False,60,3,4,4,7
c,default,False,6,P4,False,44,4,2,5,7
c,default,False,7,P1,True,69,7,5,6,6
c,default,False,8,P4,False,48,5,2,4,7
c,default,False,9,P4,False,56,4,5,5,7
c,default,False,10,P3,False,59,2,4,7,4
c,default,False,11,P3,False,83,5,2,7,3
c,default,False,12,P2,True,46,3,7,5,5
c,default,False,13,P4,False,56,5,3,5,7
c,default,False,14,P3,False,35,3,2,7,3
c,default,False,15,P2,True,82,3,7,6,4
c,default,False,16,P3,False,43,2,3,7,3
c,default,False,17,P1,True,33,7,2,3,3
c,default,False,18,P4,False,52,2,4,6,7
c,default,False,19,P3,False,47,3,5,7,4
c,default,False,20,P3,False,55,3,3,7,4
c,default,False,21,P1,True,49,7,3,3,5
c,default,False,22,P1,True,41,7,2,4,6
c,default,False,23,P2,True,54,3,7,5,4
c,default,False,24,P3,False,75,5,3,7,6
c,default,False,25,P1,True,65,7,2,3,4
c,default,False,26,P4,False,52,5,4,6,7
c,default,False,27,P3,False,51,2,6,7,6
c,default,False,28,P4,False,52,5,3,5,7
c,default,False,29,P3,False,59,5,3,7,3
c,sym_aggressive,False,0,P3,False,43,3,2,7,4
c,sym_aggressive,False,1,P3,False,79,5,5,7,5
c,sym_aggressive,False,2,P3,False,63,6,4,7,5
c,sym_aggressive,False,3,P4,False,56,2,5,4,7
c,sym_aggressive,False,4,P3,False,51,3,4,7,4
c,sym_aggressive,False,5,P1,True,25,7,3,3,2
c,sym_aggressive,False,6,P3,False,75,6,5,7,6
c,sym_aggressive,False,7,P4,False,68,5,2,6,7
c,sym_aggressive,False,8,P1,True,49,7,3,6,6
c,sym_aggressive,False,9,P3,False,47,2,5,7,5
c,sym_aggressive,False,10,P3,False,59,3,4,7,6
c,sym_aggressive,False,11,P4,False,44,2,5,5,7
c,sym_aggressive,False,12,P4,False,52,3,5,4,7
c,sym_aggressive,False,13,P3,False,31,3,2,7,3
c,sym_aggressive,False,14,P4,False,72,6,3,4,9
c,sym_aggressive,False,15,P4,False,48,5,2,6,7
c,sym_aggressive,False,16,P3,False,71,3,5,7,4
c,sym_aggressive,False,17,P3,False,35,3,2,7,5
c,sym_aggressive,False,18,P3,False,47,2,2,7,4
c,sym_aggressive,False,19,P1,True,49,7,4,4,4
c,sym_aggressive,False,20,P1,True,41,7,2,4,2
c,sym_aggressive,False,21,P3,False,59,5,2,8,5
c,sym_aggressive,False,22,P2,True,42,3,7,3,6
c,sym_aggressive,False,23,P3,False,59,4,5,7,6
c,sym_aggressive,False,24,P1,True,89,7,4,5,5
c,sym_aggressive,False,25,P3,False,55,5,3,7,6
c,sym_aggressive,False,26,P3,False,51,4,4,7,4
c,sym_aggressive,False,27,P4,False,40,3,2,5,7
c,sym_aggressive,False,28,P4,False,64,5,2,5,7
c,sym_aggressive,False,29,P1,True,41,7,2,2,3
c,sym_conservative,False,0,P4,False,28,3,2,3,7
c,sym_conservative,False,1,P4,False,40,6,3,5,7
c,sym_conservative,False,2,P3,False,31,3,2,7,3
c,sym_conservative,False,3,P3,False,47,4,2,7,3
c,sym_conservative,False,4,P3,False,59,3,4,7,6
c,sym_conservative,False,5,P3,False,55,6,5,7,3
c,sym_conservative,False,6,P3,False,43,3,2,8,4
c,sym_conservative,False,7,P4,False,48,5,2,4,7
c,sym_conservative,False,8,P3,False,87,5,2,7,5
c,sym_conservative,False,9,P4,False,76,6,3,5,7
c,sym_conservative,False,10,P3,False,79,3,3,7,5
c,sym_conservative,False,11,P1,True,37,7,3,4,4
c,sym_conservative,False,12,P3,False,59,3,3,7,3
c,sym_conservative,False,13,P3,False,35,3,3,7,2
c,sym_conservative,False,14,P3,False,67,5,5,7,5
c,sym_conservative,False,15,P4,False,96,6,4,6,7
c,sym_conservative,False,16,P1,True,41,7,2,3,6
c,sym_conservative,False,17,P3,False,39,6,2,7,5
c,sym_conservative,False,18,P1,True,45,7,4,6,5
c,sym_conservative,False,19,P4,False,32,6,2,4,7
c,sym_conservative,False,20,P1,True,29,7,2,5,3
c,sym_conservative,False,21,P3,False,23,3,3,7,2
c,sym_conservative,False,22,P1,True,53,7,4,4,4
c,sym_conservative,False,23,P4,False,52,4,3,6,7
c,sym_conservative,False,24,P4,False,68,5,3,4,7
c,sym_conservative,False,25,P3,False,59,2,5,7,4
c,sym_conservative,False,26,P3,False,43,2,4,7,3
c,sym_conservative,False,27,P1,True,41,7,3,5,4
c,sym_conservative,False,28,P3,False,51,4,3,8,6
c,sym_conservative,False,29,P2,True,50,5,7,5,4
c,default,True,0,P1,True,45,7,2,5,3
c,default,True,1,P1,True,41,7,3,6,4
c,default,True,2,P3,False,43,6,2,7,5
c,default,True,3,P3,False,75,5,5,7,6
c,default,True,4,P1,True,61,7,2,3,5
c,default,True,5,P3,False,79,3,4,8,2
c,default,True,6,P4,False,56,4,3,5,7
c,default,True,7,P3,False,55,3,2,8,4
c,default,True,8,P1,True,53,7,3,6,6
c,default,True,9,P3,False,59,2,2,7,4
c,default,True,10,P3,False,59,4,3,7,6
c,default,True,11,P4,False,64,4,4,3,7
c,default,True,12,P1,True,45,7,3,4,4
c,default,True,13,P4,False,40,4,4,4,7
c,default,True,14,P4,False,36,3,2,6,7
c,default,True,15,P3,False,47,2,4,7,5
c,default,True,16,P3,False,43,4,3,9,4
c,default,True,17,P4,False,68,5,6,4,7
c,default,True,18,P1,True,73,7,2,3,3
c,default,True,19,P3,False,27,5,2,7,2
c,default,True,20,P4,False,56,5,2,4,7
c,default,True,21,P4,False,44,6,4,5,7
c,default,True,22,P4,False,28,2,2,4,7
c,default,True,23,P4,False,52,5,2,3,7
c,default,True,24,P4,False,104,4,6,6,7
c,default,True,25,P1,True,45,8,2,5,3
c,default,True,26,P3,False,47,5,3,7,5
c,default,True,27,P1,True,45,7,2,4,3
c,default,True,28,P3,False,83,3,5,7,5
c,default,True,29,P3,False,71,5,3,7,6
c,sym_aggressive,True,0,P4,False,76,5,3,6,7
c,sym_aggressive,True,1,P4,False,60,3,2,5,7
c,sym_aggressive,True,2,P4,False,52,2,2,3,7
c,sym_aggressive,True,3,P2,True,94,6,7,6,5
c,sym_aggressive,True,4,P1,True,57,7,3,2,6
